Mean Machine,Comedy|Drama|Sport,2001,6.5,Barry Skolnick,0,54,99,Jason Statham,26000,Jason Flemyng,1000,Danny Dyer,798,92191,29463,29325,1,inmate|prison|prison guard|soccer|soccer star,http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1,84,English,UK,R,2500000,1.85,0,Color
Safe,Action|Crime|Thriller,2012,6.5,Boaz Yakin,132,258,94,Jason Statham,26000,Reggie Lee,828,Robert John Burke,317,17120019,83097,27759,2,bodyguard|gang war|russian|russian mafia|triad,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,134,English,USA,R,30000000,2.35,12000,Color
The Italian Job,Action|Crime|Thriller,2003,7,F. Gary Gray,473,155,111,Jason Statham,26000,Charlize Theron,9000,Jimmy Shubert,82,106126012,285623,35084,6,gold|heist|revenge|traffic jam|venice italy,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,497,English,USA,PG-13,60000000,2.35,0,Color
Homefront,Action|Crime|Drama|Thriller,2013,6.5,Gary Fleder,39,203,100,Jason Statham,26000,James Franco,11000,Frank Grillo,798,19783777,82804,39989,1,biker|biker gang|dea|dea agent|fight,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,154,English,USA,R,22000000,2.35,15000,Color
Killer Elite,Action|Crime|Thriller,2011,6.5,Gary McKendry,5,189,116,Jason Statham,26000,Robert De Niro,22000,Ben Mendelsohn,748,25093607,105556,49608,2,australia|death|mentor|revenge|secret society,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,157,English,UK,R,35000000,2.35,17000,Color
Lock Stock and Two Smoking Barrels ,Comedy|Crime,1998,8.2,Guy Ritchie,0,116,120,Jason Statham,26000,Jason Flemyng,1000,Dexter Fletcher,452,3650677,414976,28294,1,antique|cockney accent|hatchet|money|shotgun,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,523,English,UK,R,960000,1.85,21000,Color
Snatch,Comedy|Crime,2000,8.3,Guy Ritchie,0,151,104,Jason Statham,26000,Brad Pitt,11000,Jason Flemyng,1000,30093107,600996,39175,6,boxer|boxing|diamond|fight|gypsy,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,726,English,UK,R,6000000,1.85,27000,Color
Snatch,Comedy|Crime,2000,8.3,Guy Ritchie,0,151,104,Jason Statham,26000,Brad Pitt,11000,Jason Flemyng,1000,30093107,600996,39175,6,boxer|boxing|diamond|fight|gypsy,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,726,English,UK,R,6000000,1.85,27000,Color
London,Drama|Romance,2005,6.6,Hunter Richards,11,34,92,Jason Statham,26000,Chris Evans,11000,Dane Cook,1000,12667,19336,39518,2,bar|coke|drugs|party|snorting,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,90,English,UK,R,14000,2.35,0,Color
Furious 7,Action|Crime|Thriller,2015,7.2,James Wan,0,424,140,Jason Statham,26000,Paul Walker,23000,Vin Diesel,14000,350034110,278232,79150,0,car falling off a cliff|hospital|revenge|star died before release|terrorist,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,English,USA,PG-13,190000000,2.35,94000,Color
The One,Action|Sci-Fi|Thriller,2001,5.9,James Wong,70,98,85,Jason Statham,26000,Jet Li,5000,Delroy Lindo,848,43905746,77684,32831,1,fight|multiverse|police|police officer|prison,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,294,English,USA,PG-13,49000000,2.35,0,Color
Ghosts of Mars,Action|Horror|Sci-Fi,2001,4.9,John Carpenter,0,156,98,Jason Statham,26000,Clea DuVall,1000,Natasha Henstridge,900,8434601,43006,28867,5,head on a stake|machine gun|martian|nuclear reactor|outer space,http://www.imdb.com/title/tt0228333/?ref_=fn_tt_tt_1,460,English,USA,R,28000000,2.35,0,Color
The Transporter,Action|Crime|Thriller,2002,6.8,Louis Leterrier,255,171,92,Jason Statham,26000,Qi Shu,1000,Matt Schulze,447,25296447,237248,27572,0,bar|gunfight|human trafficking|mixed martial arts|tire iron,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,460,English,France,PG-13,21000000,2.35,0,Color
Transporter 2,Action|Crime|Thriller,2005,6.3,Louis Leterrier,255,163,87,Jason Statham,26000,Jason Flemyng,1000,Matthew Modine,810,43095600,156267,29050,1,driver|french|kidnapping|police|sequel,http://www.imdb.com/title/tt0388482/?ref_=fn_tt_tt_1,340,English,France,PG-13,32000000,2.35,0,Color
Crank,Action|Crime|Thriller,2006,7,Mark Neveldine,83,170,93,Jason Statham,26000,Edi Gathegi,725,Jose Pablo Cantillo,501,27829874,196422,28767,1,assassin|cult film|doctor|heart|poison,http://www.imdb.com/title/tt0479884/?ref_=fn_tt_tt_1,444,English,USA,R,12000000,1.78,0,Color
Crank: High Voltage,Action|Crime|Sci-Fi|Thriller,2009,6.2,Mark Neveldine,83,150,96,Jason Statham,26000,Clifton Collins Jr.,968,David Carradine,926,13630226,112516,30541,0,artificial heart|heart|horse penis|prostitute|stripper,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,223,English,USA,R,20000000,1.85,0,Color
The Expendables 3,Action|Adventure|Thriller,2014,6.1,Patrick Hughes,385,320,131,Jason Statham,26000,Sylvester Stallone,13000,Harrison Ford,11000,39292022,127258,52610,15,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1,351,English,USA,PG-13,90000000,2.35,56000,Color
Death Race,Action|Sci-Fi|Thriller,2008,6.4,Paul W.S. Anderson,545,230,111,Jason Statham,26000,Max Ryan,872,Joan Allen,805,36064910,166610,28643,4,armored car|car|murder|prison|warden,http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1,211,English,USA,R,45000000,2.35,0,Color
War,Action|Crime|Thriller,2007,6.3,Philip G. Atwell,5,119,103,Jason Statham,26000,Jet Li,5000,Nadine Velazquez,874,22466994,72673,33565,0,assassin|betrayal|fbi|fbi agent|yakuza,http://www.imdb.com/title/tt0499556/?ref_=fn_tt_tt_1,166,English,USA,R,25000000,2.35,0,Color
The Bank Job,Crime|Drama|Romance|Thriller,2008,7.3,Roger Donaldson,79,222,111,Jason Statham,26000,Saffron Burrows,811,Daniel Mays,287,30028592,152247,27755,0,chase|heist|london england|mobster|safe deposit,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,189,English,UK,R,20000000,2.35,0,Color
The Mechanic,Action|Crime|Thriller,2011,6.6,Simon West,165,252,93,Jason Statham,26000,Tony Goldwyn,956,Mini Anden,350,29113588,117999,27834,0,apprentice|disobeying orders|gas station|hitman|nightclub,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,181,English,USA,R,40000000,2.35,16000,Color
The Expendables 2,Action|Adventure|Thriller,2012,6.7,Simon West,165,383,103,Jason Statham,26000,Sylvester Stallone,13000,Bruce Willis,13000,85017401,246803,57881,3,church|hostage|mine|plutonium|revenge,http://www.imdb.com/title/tt1764651/?ref_=fn_tt_tt_1,474,English,USA,R,92000000,2.35,108000,Color
Wild Card,Action|Crime|Drama|Thriller,2015,5.6,Simon West,165,130,92,Jason Statham,26000,Michael Angarano,947,Jason Alexander,700,,36487,29773,0,bodyguard|criminal|gambling|mob boss|thug,http://www.imdb.com/title/tt2231253/?ref_=fn_tt_tt_1,114,English,USA,R,30000000,2.35,0,Color
The Expendables,Action|Adventure|Thriller,2010,6.5,Sylvester Stallone,13000,424,113,Jason Statham,26000,Sylvester Stallone,13000,Jet Li,5000,102981571,270226,46355,9,action hero|assassination attempt|explosion|machine gun|rescue mission,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1,741,English,USA,R,80000000,2.35,57000,Color
Parker,Action|Crime|Romance|Thriller,2013,6.2,Taylor Hackford,138,224,118,Jason Statham,26000,Clifton Collins Jr.,968,Wendell Pierce,458,17609982,90046,28479,0,action hero|disguise|hospital|real estate agent|thief,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,141,English,USA,R,35000000,2.35,17000,Color
In the Name of the King: A Dungeon Siege Tale,Action|Adventure|Fantasy|Thriller,2007,3.8,Uwe Boll,892,140,156,Jason Statham,26000,Mike Dopud,368,Tania Saulnier,102,4535117,38398,26564,3,farmer|king|krug|rescue|wizard,http://www.imdb.com/title/tt0460780/?ref_=fn_tt_tt_1,368,English,Germany,PG-13,60000000,2.35,0,Color
